,kind,answer,passage,question
50,1,コンピュータが制御した情報を物理的に外部へ伝える装置のこと,アクチュエータはコンピュータが制御した情報を物理的に伝える装置であり各種のモータなどが使われている,アクチュエータとは何ですか?
129,1,ベクタ系画像処理ソフトではオブジェクトが数式で表現されているため、拡大・変形しても画質は劣化しない。,ベクタ系画像処理ソフトでは、円や長方形などの図形はオブジェクトというひとつの塊として描画される。オブジェクトは、数式で表現されているため、拡大・変形しても画質は劣化しない。また、オブジェクト毎に選択して重ねたり移動したりできる。,ベクタ系画像処理ソフトでは拡大・変形しても画質が劣化しないのはなぜか、説明しなさい。
102,1,ラジアンとは、円の半径の長さと等しい弧の長さとなる中心角を1とする単位。,コンピュータにおける算術演算において、三角関数の引数となる角度は弧度法(ラジアン)である。ラジアンとは、円(扇型)の半径の長さと等しい弧の長さとなる中心角を1とする単位で、0度＝0ラジアン、90度＝π/2ラジアン、180度はπラジアン、360度＝2πラジアンとなる。角度からラジアンへの変換は角度にπ/180を掛ければよい。,ラジアンとは何ですか?
140,2,正しい,利用者に適切な行動を誘導する役割を持たせたデザインをシグニファイアという。適切なシグニファイアがデザインされたユーザインターフェースは、利用者が得られる体験(ユーザエクスペリエンス)の向上をもたらすため、情報デザインの重要性は一層増してきている。,次の文章は正しいか答えなさい。適切なシグニファイアがデザインされたユーザインターフェースは、ユーザエクスペリエンスの向上をもたらすため、情報デザインの重要性は一層増してきている。
115,1,コミュニケーションとは、送り手と受け手の間で情報のやり取りをすることである。,コミュニケーションは、送り手と、受け手の間で情報のやり取りをすることを指す。,コミュニケーションとは何か説明しなさい。
124,1,15世紀にグーテンベルクによって活版印刷術が発明されたため、情報の複製が容易にできるようになったため、同じ情報を同時に複数人に伝えることが容易になった。,15世紀にはグーテンベルクによって活版印刷術が発明されたことにより、情報の複製が大量にできるようになったことで、同じ情報を同時に複数人に伝えることが容易になった。その後、産業革命をきっかけに、不特定多数への情報伝達の需要が高まり、マスメディアが誕生した。,同じ情報を同時に複数人に伝えることが容易になったのはなぜか、説明しなさい。
130,2,正しくない,ラスタ系画像処理ソフトでは、画像を小さな点(ピクセル)で描画する。そのため、拡大や変形すると画像が粗くなる場合がある。また、ベクタ系とは異なり画像内にある一部の円や長方形だけを移動したり、削除することはできない。,次の文章は正しいか答えなさい。ラスタ系画像処理ソフトでは、画像をピクセルで描画する。そのため、拡大や変形しても画質が粗くなることはない。
14,0,posシステム,商業分野では店舗経営の効率化・売り上げ分析・在庫管理などを目的とし、posシステムと呼ばれる情報システムを用いている。,商業分野で用いられる情報システムはなんですか
148,2,正しい,各種の発想法によりデザインの対象を見つけたら、そこにあるニーズについて情報を収集する。このとき収集される情報には、大きく分けて、定量的な情報と、定性的な情報がある。定量的な情報は、結果を数値で得られるため、量的な比較や検証をするのに向いている。定性的な情報は、主に文字情報によって結果が得られるため、新たな気付きを得たり、詳細な状況を探ったりするのに向いている。,次の文章は正しいか答えなさい。定量的な情報は、結果を数値で得られるため、量的な比較や検証をするのに向いている。
160,0,不正アクセス禁止法違反、コンピュータ・電磁的記録対象犯罪等、ネットワーク利用犯罪,"平成30年の警察白書によれば,サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反2.コンピュータ・電磁的記録対象犯罪等3.ネットワーク利用犯罪",サイバー犯罪の類型3つを回答してください。
189,1,問題解決の考え方を適応し、問題点を明確に、具体的な理想を明らかにして分析を進め、情報や情報技術を活用しながら知恵や思考力をもって影の面をなくす,"光の面は十分に享受するとともに,問題解決の考え方を利用し,問題点を明確にし,具体的な理想を明らかにして分析を進めるとともに,情報や情報技術を効果的に利用しながら,知恵や思考力をもって生徒自身の力で影の面を無くしていく方向に促すことは重要である.",情報社会には光と影の面がありますが、どのようにして影の面をなくせば良いですか
87,0,選択ソート,選択ソートはリスト内のデータから最小値を探索し、最小値から順に取り出すことで並べ替えを実現するアルゴリズムである。,リスト内のデータから最小値を探索し、最小値から順に取り出すことで並べ替えを実現するアルゴリズムは何か
135,0,アーツ・アンド・クラフツ運動,デザインの起源は19世紀末にウィリアム・モリスらが展開した、アーツ・アンド・クラフツ運動であると言われている。これは、大量生産による安価で粗悪な工業製品ではなく、生活と芸術を融合した製品を生産することによって、市民の生活の質や、製品の質や価値を向上させようという運動である。,デザインの起源は何か、答えなさい。
72,1,インターネット上のサービスやビッグデータへのwebの通信を利用したアクセス機能を提供しているapi,"一般にシステム開発では作成するプログラムは大規模なので,コードの長さも膨大となり,開発期間もその分大きくかかる。だが,多くのシステムでは「ボタンを押したらウィンドウが開く」や「ボタンを押したらファイルが保存される」処理について共通していることが多い。共通している処理についてapi(application programinterface)として関数に近い形で提供されている。このapiを使って開発することで,開発期間の短縮につながる。インターネット上のサービスやビッグデータへのwebの通信を利用したアクセス機能を提供しているapiをwebapiといい,現在のシステム開発において利用されている。",webapiとは何か。
194,1,電子マネーとは電子的なやり取りにより、現金の代わりに決済ができるサービスのことを指す,"電子マネーとは,電子的なデータのやりとりにより,現金の代わりに決済できるサービスをさす場合が多い.",電子マネーとは何ですか
146,2,正しくない,発散技法は多くの視点から多様な発想を生み出そうとする方法であり、主な発想法としてはブレーンストーミングやブレーンライティングがある。また、収束技法は集めたデータをまとめていくことで有効な情報を形成していく方法であり、kj法や特性要因図が該当する。統合技法は先述した発散と収束を繰り返す方法であり、ワークデザイン法とインプットアウトプット法が該当する。態度技法は創造的態度を身に付ける方法でロールプレイング、ワールドカフェがその代表である。,次の文章は正しいか答えなさい。態度技法は集めたデータをまとめていくことで有効な情報を形成していく方法であり、ロールプレイング、ワールドカフェがその代表である。
17,0,its,交通分野では渋滞緩和やバスの走行位置提供などを目的とし、高度道路交通システム(通称:its)と呼ばれる情報システムを用いている。,交通分野で用いられる情報システムはアルファベット3文字でなんといいますか
182,2,正しくない,特許権、実用新案権、意匠権、商標権を総称して産業財産権という。,次の文章は正しいか答えなさい。特許権、実用新案権、意匠権を総称して産業財産権という。
8,2,正しくない,tcp/ipの4階層モデルについて、インターネットの通信においては、tcp、ipv4、ipv6、dhcp、http、smtp、popなどの様々なプロトコルが用いられるが、これらは4層のレイヤに分けて考えることができる。アプリケーション層、トランスポート層、インターネット層、ネットワークインタフェース層の4つである。,tcp/ipの4階層モデルについて、インターネットの通信においては様々なプロトコルが用いられるが、これらは7層のレイヤに分けて考えることができる。
38,2,正しい,質的データ×質的データにおいては、分割表なども用いることが多いが、端的に可視化するときには、モザイク図やマリメッコチャートなども用いられる,次の文章は正しいですか。質的データ×質的データを端的に可視化するときにはモザイク図やマリメッコチャートなどが用いられる。
29,0,箱ひげ図,"位置統計量のうち,四分位数というものがある.四分位数はデータを大きさの順に並べたときに,データの個数(相対度数)を4等分する境界値で,データが小さい方から順に第1四分位数(q1),第2四分位数(q2)(中央値と同値),第3四分位数(q3)という。累積相対度数は中学校で学習するが,四分位数はそれぞれ,下側累積25%点,下側累積50%点,下側累積75%点に相当する。四分位数を図示する方法として,箱ひげ図が用いられる。",四分位数を図示する方法は何?
57,2,正しいです,ドアには空気圧シリンダが使われている。空気圧シリンダは構造がシンプルで安価である。空気を圧縮膨張させることでシリンダ内のピストンを動かし、ドアの開閉などを行う。,次の文章は正しいか答えなさい。空気圧シリンダは空気を圧縮膨張させることでシリンダ内のピストンを動かし、ドアの開閉などを行う。
145,1,統合技法は多くの視点から多様な発想を生み出そうとする発散と集めたデータをまとめていくことで有効な情報を形成していく収束を繰り返す方法である。,発散技法は多くの視点から多様な発想を生み出そうとする方法であり、主な発想法としてはブレーンストーミングやブレーンライティングがある。また、収束技法は集めたデータをまとめていくことで有効な情報を形成していく方法であり、kj法や特性要因図が該当する。統合技法は先述した発散と収束を繰り返す方法であり、ワークデザイン法とインプットアウトプット法が該当する。態度技法は創造的態度を身に付ける方法でロールプレイング、ワールドカフェがある。,統合技法とはどのような方法か説明しなさい。
37,2,正しい,名義尺度と順序尺度をまとめて質的データまたはカテゴリ型データと呼ぶことがある。これらは量的データと異なり、一見すると数値で表されている場合などでも量的データと同様の演算や可視化を行うことができないことがあるので注意が必要である。,次の文章は正しいですか?名義尺度と順序尺度をまとめて質的データまたはカテゴリ型データと呼ぶことがある。
46,2,正しくない,cpuにとっての作業場所がメモリである。十分な広さが必要であり、特に複数の仕事を同時に進行する場合は広くする必要がある。ここが狭いと、コンピュータ全体の処理速度が落ちる。ハードディスクは、情報を保存しておく引き出しと考えてもらいたい。大量の情報を保存できるが読み書きに時間がかかる。,「cpuにとっての作業場所がメモリであり、狭くても問題はない。」という文章は正しいですか?
187,1,主な利用目的としてコミュニケーション、動画視聴、音楽試聴があげられる,"特に,2018年に発表された内閣府による青少年のインターネット利用環境実態調査の結果によると,平均1日あたり,高校生の53.8%が3時間以上インターネットを利用しており,5時間以上利用している者も26.1%に上るという.利用目的として,上位からコミュニケーション,動画視聴,音楽視聴と報告されている.",高校生のインターネット利用目的はどのようなものが挙げられますか
167,2,正しい,"平成30年の警察白書によれば,サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反2.コンピュータ・電磁的記録対象犯罪等3.ネットワーク利用犯罪",次の文章は正しいか答えなさい。サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反2.コンピュータ・電磁的記録対象犯罪等3.ネットワーク利用犯罪
158,2,正しくない,"事象や現象を数字や文字などで記号化したものがデータであり,意味や価値が付加されたデータやメッセージを情報という.","次の文章は正しいか答えなさい.「事象や現象を数字や文字などで記号化したものが情報であり,意味や価値が付加された情報やメッセージをデータという.」"
108,2,正しくない,"アナログ情報をデジタル化するときには,連続的に変化する量を一定の時間間隔で区切る標本化,それぞれの値にあらかじめ定めた段階値を割り当てる量子化,量子化した数値を2進法で表現する符号化の手順が行われる。","次の文章は正しいか答えなさい。アナログ情報をデジタル情報に変換する際,連続的に変化する量を一定の時間間隔で区切る処理を量子化という."
126,2,正しくない,15世紀にはグーテンベルクによって活版印刷術が発明されたことにより、情報の複製が大量にできるようになったことで、同じ情報を同時に複数人に伝えることが容易になった。その後、産業革命をきっかけに、不特定多数への情報伝達の需要が高まり、マスメディアが誕生した。,次の文章は正しいか答えなさい。18世紀にはグーテンベルクによって活版印刷術が発明されたことにより、情報の複製が大量にできるようになったことで、同じ情報を同時に複数人に伝えることが容易になった。
175,1,生存する個人に関する情報であって、当該情報に含まれる氏名、生年月日その他の記述等により特定の個人を識別することができるもの、あるいは個人識別符号が含まれるもの,"2003年に成立した「個人情報の保護に関する法律」では,個人情報を次のように定義している。「生存する個人に関する情報であって,当該情報に含まれる氏名,生年月日,その他の記述などによって特定の個人を識別できるもの(他の情報と容易に照合することができ,それによって特定の個人を識別することができることとなるものを含む),または個人識別符号が含まれるもの。」",個人情報とは何ですか
22,0,行政の透明性・信頼性の向上,オープンデータとしてデータが公開されることにより、政策等に関する十分な分析・判断が可能となり、行政の透明性・信頼性の向上につながると考えられる。,オープンデータとしてデータが公開されるとどのような効果がありますか
151,2,正しくない,ペルソナ手法は、デザインされた情報の利用者の人物像(ペルソナ)を設定し、その人物に向けて、何が必要かを検討していくことで要件を定義する手法である。ペルソナを設定する際には、年齢、性別、職業、家族構成、趣味、スキルといった人物の基本的な情報だけでなく、利用者の会社、学校、社会での役割(ユーザロール)や、利用者がどのようなことを達成したいのか(ユーザゴール)、利用者の好みなども具体的に設定していく。,次の文章は正しいか答えなさい。ペルソナを設定する際には、年齢、性別、職業などの人物の基本的な情報だけを設定すればよい。
64,1,「おはよう」が画面に表示される。,"print(""文字列"")は文字列を表示する関数である。print(""おはよう"")を実行すると「おはよう」と画面に表示し、print(""こんにちは"")を実行すると「こんにちは」と画面に表示する。","print(""おはよう"")を実行すると何が起こるでしょう"
184,2,正しい,授業での利用(著作権法第35条)では教育を担当する者、授業を受ける者は、授業の過程で利用するために、必要と認められる限度に置いて著作物を複製できる。ただし、著作権者の利益を不当に害することは違法になる。,次の文章は正しいか答えなさい。授業での利用(著作権法第35条)では教育を担当する者、授業を受ける者は、授業の過程で利用するために、必要と認められる限度に置いて著作物を複製できる。ただし、著作権者の利益を不当に害することは違法になる。
166,1,情報システムごとに導入コストや運用コストのトレードオフを考慮する必要がある,"情報システムを運用する場合には導入コストや運用コストなどとのトレードオフも考慮しながら,情報システム毎に3要素の重要度を検討する必要がある。",情報システムに情報セキュリティの3要素を組み込む場合、どのようなことを考慮すれば良いですか
15,0,電子決済システム,金融分野では鉄道運賃の支払いや店頭レジでの支払いに電子決済システムと呼ばれる情報システムを活用している。,金融分野において用いられる情報システムはなんですか
133,0,究極の5個の帽子掛け,"情報デザインを行っていく上で欠かせないのが,情報を構造化していくことである。情報の構造化とは,情報をある基準を用いて整理し,整理された情報同士を結び付けていくことである。情報の整理の基準として用いられているのが,リチャード・ソール・ワーマンが提唱した「究極の5個の帽子掛け」と呼ばれるものである。ここでは,情報を整理する基準について,「位置」「アルファベット」「時間」「カテゴリ」「連続量」の5つしかないとしている。",リチャード・ソール・ウーマンが提唱した情報の整理の基準として用いられているものは何か。
31,0,帰無仮説は正しくない,"帰無仮説上の分布で検定統計量の観測値が対立仮説の方向にその値以上にずれる有意確率が有意水準以下になるとき,帰無仮説は正しくないと考え,帰無仮説は棄却され対立仮説を採択する。p値が有意水準より大きくなる場合は,帰無仮説が正しいというより,検出力の問題もあるので,今回のデータは帰無仮説を棄却する統計的な証拠にはならないという判断に留めることが重要である。",有意確率が有意水準以下になると帰無仮説はどう言えますか?
190,2,正しい,情報技術の発展が社会へのコミュニケーションの利便性を高め人の生活を豊かにさせる反面、情報格差、健康への影響、いじめや犯罪に巻き込まれるなどの負の側面も生じている。,次の文章は正しいか答えよ。情報技術の発展が社会へのコミュニケーションの利便性を高め人の生活を豊かにさせる反面、情報格差、健康への影響、いじめや犯罪に巻き込まれるなどの負の側面も生じている。
109,0,16bit,"コンピュータでは,文字の一つ一つに文字コードと呼ばれる固有の番号を割り当てることで,文字を2進法のデータとして取り扱っている。英語などで使用されるアルファベットや数字などの文字は種類が少ないので7bitで表現することができるが,日本語などで使用される漢字などの文字は種類が多いので16bitで表現する。","テキストをコンピュータで処理する際,日本語は1文字あたり何bitで表現されるか"
119,2,正しい,対人コミュニケーションは特定相手を限定した個人対個人のコミュニケーションのことを指し、集団コミュニケーションは限定された小集団レベルのコミュニケーションのことを指す。また、マスコミュニケーションは不特定多数に対して行われるコミュニケーションのことをいう。,次の文章は正しいか答えよ。集団コミュニケーションは限定された小集団レベルのコミュニケーションのことをいう。
169,2,正しい,一般の利用者が情報システムを利用するにあたり、設定するパスワードは通常、英数字、記号などを組み合わせ、他の人に容易に推測されない複雑なものにする必要がある。,次の文章は正しいか答えなさい。一般の利用者が情報システムを利用するにあたり、設定するパスワードは通常、英数字、記号などを組み合わせ、他の人に容易に推測されない複雑なものにする必要がある。
156,1,ブレーンストーミングのルールは質より量、制約を設けない、便乗の推奨、批判の禁止である,"ブレーンストーミングには質より量,制約を設けない,便乗の奨励,批判の禁止の4つのルールがある.",アイデアを生み出す手法であるブレーンストーミングのルールはどのようなものが挙げられますか
104,0,デジタル,"私たちの身の回りには,温度や時間など連続的に変化するものがたくさんある。このような情報をアナログデータという。デジタルは連続する量を一定間隔ごとに区切り,数値を用いて表す方法である。","連続する量を一定間隔ごとに区切り,数値を用いて表す方法を何というか"
170,0,産業財産権と著作権,"知的財産権とは,人間の幅広い知的創造活動の成果について,その創作者に一定期間の権利保護を与えるようにした制度である。知的財産権は,申請の必要な産業に関する産業財産権と,申請の必要がない文化や芸術に関する著作権に大きく分けられる。",知的財産権は何と何に大きく分けられる?
178,2,正しくない,教育を担任する者、授業を受ける者は、授業の過程で利用するために、必要と認められる限度に置いて著作物を複製できる。ただし、著作権者の利益を不当に害することは違法になる。,教育者が授業の過程で利用するために著作物を複製することは違法である。○か×か。
10,2,正しくない,家庭内などの接続する人が特定できている場所での接続に関しても、外部からの不正な侵入も考慮し、ssidを公開しないことや暗号化キーを分かりづらいものにしておくこと、暗号化方式を容易に解読されないものにしておくことが必要である。そのため、ssid、暗号化キー、暗号化方式などの情報が無線lanに参加するのに必要になる。,次の文章は正しいか答えなさい。家庭内などの接続する人が特定できている場所での接続に関しても、ssidを公開することや暗号化キーを分かりやすいものにしておくこと、暗号化方式を容易に解読されないものにしておくことが必要である。
67,2,正しくない,アルゴリズムを表現する方法は多様である。ここでは、フローチャートを紹介したが、目的や内容に応じて適切なものを使い分けるようにしたい。uml(unified modeling language)に含まれるアクティビティ図やシーケンス図のように、複数の処理が互いに通信しながら動作を進める様子を表現できる表記法も利用されている。,次の文章は正しいですか。フローチャートのように複数の処理が互いに通信しながら動作を進める様子を表現できる表記法も利用されている。
150,0,フィールドワーク,情報を収集する手法としてフィールドワークがある。これは、実際にデザインの対象となる場に行って、現地の様子を観察するやり方である。必要に応じて、現地でアンケート調査やインタビューを行えるため、より多面的な情報が手に入るが、観察者の力量によって情報の質が変わってしまう場合もある。,実際にデザインの対象となる場に行って、現地の様子を観察し、情報を収集する手法を何というか。
39,1,可視化することによって、問題を発見することができ、それに対して詳細な分析や解釈、解決策を考えることができるからである。,データの可視化は何のために行うのだろうか。可視化することによって、問題を発見することができ、それに対して詳細な分析や解釈、解決策を考えることができるからである。,データの可視化は何のために行うのですか。
91,0,randint関数,pythonで整数で発生させる乱数はrandint関数で提供されている。,pythonで整数の乱数を得るための関数はどれですか?
141,1,シグニファイアとは利用者に適切な行動を誘導する役割を持たせたデザインのことである。,利用者に適切な行動を誘導する役割を持たせたデザインをシグニファイアという。適切なシグニファイアがデザインされたユーザインターフェースは、利用者が得られる体験(ユーザエクスペリエンス)の向上をもたらすため、情報デザインの重要性は一層増してきている。,シグニファイアとは何か答えなさい。
153,0,形がない、消えない、簡単に複製できる、容易に伝播する,"情報の代表的な特性として,以下の4つがあげられる。1形がない2消えない3簡単に複製できる4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。",情報の代表的な特徴を4つ挙げてください。
49,2,正しい,and、or、notを用いて2進数の足し算について考えてみる。論理演算の基本は、and、or、notなので、この3つで基本的にどんな計算も表すことができる。,次の文章は正しいか答えなさい。論理演算の基本は、and、or、notなので、この3つで基本的にどんな計算も表すことができる。
51,0,センサ,センサは、自然現象の情報を人間や装置などが扱いやすい信号に置き換える装置であり、温度、照度、加速度、距離などを測定するセンサがいろいろな装置に内蔵されて使われている。,自然現象の情報を人間や装置などが扱いやすい信号に置き換える装置を何といいますか
25,1,離散グラフとは頂点と辺で構成された図のことである。,頂点と辺で構成された図を離散グラフという。図表2では、aからfまでの6人の人のつながりを表している。aからfまでの人を表す丸を頂点(バーテックスまたはノード)、人と人とのつながりを表す線分を辺(エッジ)といい、頂点と辺で構成された図を離散グラフという。特に方向性を考えない無効グラフとなっている。人のつながりでの片思いの関係や一方通行の道路のような、方向性を考慮した有効グラフを考えることもできる。,離散グラフとは何ですか。
30,0,帰無仮説,"検証したい仮説を対立仮説と呼び,その反対の仮説を帰無仮説と呼ぶ。そして,標本データが帰無仮説上でどのような起こりやすさ(分布)の下で起こっているのかを確率で評価し,非常に小さな確率でしか起こらないことを証拠に,帰無仮説を棄却し対立仮説の成立を主張する。",検証したい仮説の反対の仮説は何?
199,2,正しくない,プリペイドカードでは磁気データを書き換えることで利用確認を行っている。一方で、icカード方式電子マネーでは内臓icと電波でやり取りを行うことで利用確認を行っている。,次の文章は正しいか答えなさい。icカード方式電子マネーでは磁気データを書き換えることで利用確認を行っている。
3,1,有線lanはethernetの電気信号を、無線lanは電波を利用すること,有線lanと無線lanと無線lanの違いはどこにあるのか。外見上は有線がethernetにしたがった規格の通信であり、無線はlanケーブルなしでethernetの通信技術を実現したものである。これは物理的な違いであり実際には、通信上のネットワークインタフェースがethernetの電気信号であることと電波を利用することの違いである,実際の通信における有線lanと無線lanの違いは何ですか
186,1,10代はsnsや動画投稿・共有サイト、友人とのチャットが情報源であり、60代は新聞やテレビを情報源としている,"10代は情報源としてsnsや動画投稿・共有サイト,友人とのチャットが中心であるように読み取れる.60歳以上は,ネットの利用時間が短く",10代と60代の情報源はどのように異なりますか
111,0,ラスタデータ,"コンピュータで扱う画像データには様々な種類がある。画像データは大別して,ラスタデータとベクタデータに大きく分けられる。ラスタデータは,画像を色情報を持った点を使って表現したデータで,ビットマップデータとも呼ばれる。ラスタデータは,写真や自然画などを扱うのに適している。しかしラスタデータは,点の集合で表現されているため,画像の拡大・縮小・変形などには適さない。ベクタデータは,画像を点とそれを結ぶ線や面で計算処理して表現したデータで,イラストや図面などを作成するのに適している。ベクタデータは,表示するたびに,計算を行って画像を表現するため,画像を拡大・縮小・変形したりしても,画質が維持されるという特徴がある。","コンピュータで画像を扱う際,画像を色情報を持った点を使って表現したデータ形式を何というか"
116,0,対人コミュニケーション、集団コミュニケーション、マスコミュニケーション,コミュニケーションを、個人同士で情報をやり取りする「対人コミュニケーション」、限られた集団で情報をやり取りする「集団コミュニケーション」、不特定多数で情報をやり取りする「マスコミュニケーション」の3つのモデルに分ける考え方がある。,コミュニケーションにおける3つのモデルを答えなさい。
24,1,リレーショナルデータベースは、データが表形式で表現されたテーブルというデータの集合として管理する。,"データの蓄積や検索が容易にできるものをデータベースという,そのうち特にリレーショナルデータベース(関係データベース)が広く用いられている。リレーショナルデータベースは,表形式で表現されたテーブルというデータの集合として管理する。複数のテーブルを関連付けて,結合して利用することもできる。リレーショナルデータベースを操作するには,sql(structured query language)という言語が用いられる。",リレーショナルデータベースではどのようにしてデータを管理するか。
157,1,アイデアの近さやまとまりを可視化するkj法や、一定のルールに基づいて構造的にアイデアを表すものがロジックツリーやコンセプトマップがある,"アイデアを整理し,可視化する有効な手法として,アイデアをそれぞれのカードに記し,二次元に配置しながらグループ化したり表題をつけたり関連づけたりするなどして有意な解釈や新たなアイデアなどを生み出す方法や,アイデアや項目などを一定のルールのもとに線でつなぎながら関連を分かりやすく示す方法などがある.前者の代表的な例として「kj法」が,後者の代表的な例として「ロジックツリー」「コンセプトマップ」などが挙げられる.",アイデアを整理する手法はどのようなものがありますか
21,0,国民参加・官民共同の推進を通じた諸課題の解決、経済活性化,オープンデータとしてデータが公開される意義として国民参加・官民共同の推進を通じた諸課題の解決、経済活性化があげられ、その効果として多様なサービスの提供・公共サービスの提供・改善、諸課題の解決への貢献などが挙げられる。,オープンデータとしてデータが公開されるのはどんな意義がありますか
191,2,正しくない,情報機器の普及は、これらを利用して仕事をしている人に対して、目が疲れたり肩こりが生じたりという身体的な症状や、また、過度に情報機器に依存してしまう不安症などという健康被害(テクノストレス)を生じさせることもある。,次の文章は正しいか答えよ。情報機器の普及は、これらを利用して仕事をしている人に対して、目が疲れたり肩こりが生じたりという身体的な症状を生じさせるが、健康被害が生じることはない。
147,2,正しくない,発散技法は多くの視点から多様な発想を生み出そうとする方法であり、主な発想法としてはブレーンストーミングやブレーンライティングがある。また、収束技法は集めたデータをまとめていくことで有効な情報を形成していく方法であり、kj法や特性要因図が該当する。統合技法は先述した発散と収束を繰り返す方法であり、ワークデザイン法とインプットアウトプット法が該当する。態度技法は創造的態度を身に付ける方法でロールプレイング、ワールドカフェがその代表である。,次の文章は正しいか答えなさい。発散技法は多くの視点から多様な発想を生み出そうとする方法であり、主な発想法としてはブレーンストーミングやワークデザイン法がある。
43,0,cpu,"コンピュータは、制御装置、演算装置、記憶装置、入力装置,出力装置の5つで構成される。制御装置と演算装置を合わせてcpu(central processing unit)という",コンピューターの制御装置と演算装置を合わせた装置を何というか?
96,2,正しくない,確率モデルを使ったシミュレーション手法に、モンテカルロ法がある。モンテカルロ法の特徴は対象のモデルに乱数を大量に生成して入力し、近似解を得ようとする手法である。,次の文章は正しいか答えてください。モンテカルロ法は対象のモデルに乱数を1つだけ生成して入力し、近似解を得ようとする手法である。
68,0,プログラム,"問題を解決するための方法や手順をアルゴリズムといい,アルゴリズムをコンピュータが実行できる形式であらわしたものをプログラムという。アルゴリズムは流れ図(フローチャート)などを用いて図式化するとわかりやすい。アルゴリズムはプログラミング言語を用いてプログラムにすることで,コンピュータに実行させることができる。",アルゴリズムをコンピュータが実行できる形式であらわしたものを何というか
185,1,情報格差や健康への影響、いじめや犯罪に巻き込まれるといった問題がある,"スマートフォンなど個人が所有する情報機器の普及はsnsの普及につながり,コミュニケーションの利便性の向上につながっていると考えられる反面,年齢や所得など,個人の技術や社会環境の差により格差(デジタルディバイド)が生じ,新しい情報を手に入れる機械や量が異なることがある.",スマートフォンやsnsの普及によって利便性が向上した反面、どのようなことが問題となっていますか
